sep=;
time;model_id;model_name;port_name;data
0;1;(7,9);;<1>
0;2;(6,9);;<1>
0;3;(4,9);;<1>
0;4;(1,9);;<1>
0;5;(8,8);;<1>
0;6;(7,8);;<1>
0;7;(6,8);;<1>
0;8;(5,8);;<1>
0;9;(4,8);;<1>
0;10;(1,8);;<1>
0;11;(0,8);;<1>
0;12;(9,7);;<1>
0;13;(8,7);;<1>
0;14;(9,9);;<1>
0;15;(6,7);;<1>
0;16;(3,7);;<1>
0;17;(2,7);;<1>
0;18;(1,7);;<1>
0;19;(0,7);;<1>
0;20;(9,6);;<1>
0;21;(6,6);;<1>
0;22;(5,6);;<1>
0;23;(2,6);;<1>
0;24;(7,7);;<1>
0;25;(0,6);;<1>
0;26;(4,6);;<1>
0;27;(2,2);;<1>
0;28;(3,9);;<1>
0;29;(5,2);;<1>
0;30;(2,9);;<1>
0;31;(9,5);;<1>
0;32;(9,1);;<1>
0;33;(7,1);;<1>
0;34;(6,1);;<1>
0;35;(8,5);;<1>
0;36;(8,0);;<1>
0;37;(7,0);;<1>
0;38;(5,7);;<1>
0;39;(0,1);;<1>
0;40;(1,4);;<1>
0;41;(9,8);;<1>
0;42;(6,0);;<1>
0;43;(5,9);;<1>
0;44;(7,3);;<1>
0;45;(1,1);;<0>
0;46;(7,5);;<1>
0;47;(8,9);;<1>
0;48;(2,1);;<0>
0;49;(2,8);;<1>
0;50;(3,3);;<0>
0;51;(3,0);;<1>
0;52;(1,3);;<0>
0;53;(9,3);;<1>
0;54;(1,5);;<1>
0;55;(6,5);;<1>
0;56;(0,9);;<1>
0;57;(8,3);;<1>
0;58;(4,2);;<1>
0;59;(0,3);;<1>
0;60;(3,8);;<1>
0;61;(2,3);;<0>
0;62;(3,1);;<0>
0;63;(2,4);;<1>
0;64;(5,0);;<1>
0;65;(4,0);;<1>
0;66;(1,2);;<0>
0;67;(0,0);;<1>
0;68;(6,2);;<1>
0;69;(3,2);;<0>
0;70;(3,5);;<1>
0;71;(3,6);;<1>
0;72;(2,0);;<1>
0;73;(7,2);;<1>
0;74;(8,6);;<1>
0;75;(8,2);;<1>
0;76;(0,2);;<1>
0;77;(4,1);;<1>
0;78;(9,2);;<1>
0;79;(5,3);;<1>
0;80;(6,3);;<1>
0;81;(4,3);;<1>
0;82;(0,4);;<1>
0;83;(4,7);;<1>
0;84;(0,5);;<1>
0;85;(3,4);;<1>
0;86;(4,4);;<1>
0;87;(4,5);;<1>
0;88;(7,4);;<1>
0;89;(5,4);;<1>
0;90;(1,6);;<1>
0;91;(9,0);;<1>
0;92;(8,4);;<1>
0;93;(6,4);;<1>
0;94;(7,6);;<1>
0;95;(1,0);;<1>
0;96;(9,4);;<1>
0;97;(8,1);;<1>
0;98;(5,1);;<1>
0;99;(2,5);;<1>
0;100;(5,5);;<1>
0;1;(7,9);outputNeighborhood;<1>
0;1;(7,9);;<1>
0;2;(6,9);outputNeighborhood;<1>
0;2;(6,9);;<1>
0;3;(4,9);outputNeighborhood;<1>
0;3;(4,9);;<1>
0;4;(1,9);outputNeighborhood;<1>
0;4;(1,9);;<1>
0;5;(8,8);outputNeighborhood;<1>
0;5;(8,8);;<0>
0;6;(7,8);outputNeighborhood;<1>
0;6;(7,8);;<0>
0;7;(6,8);outputNeighborhood;<1>
0;7;(6,8);;<0>
0;8;(5,8);outputNeighborhood;<1>
0;8;(5,8);;<0>
0;9;(4,8);outputNeighborhood;<1>
0;9;(4,8);;<0>
0;10;(1,8);outputNeighborhood;<1>
0;10;(1,8);;<0>
0;11;(0,8);outputNeighborhood;<1>
0;11;(0,8);;<1>
0;12;(9,7);outputNeighborhood;<1>
0;12;(9,7);;<1>
0;13;(8,7);outputNeighborhood;<1>
0;13;(8,7);;<0>
0;14;(9,9);outputNeighborhood;<1>
0;14;(9,9);;<1>
0;15;(6,7);outputNeighborhood;<1>
0;15;(6,7);;<0>
0;16;(3,7);outputNeighborhood;<1>
0;16;(3,7);;<0>
0;17;(2,7);outputNeighborhood;<1>
0;17;(2,7);;<0>
0;18;(1,7);outputNeighborhood;<1>
0;18;(1,7);;<0>
0;19;(0,7);outputNeighborhood;<1>
0;19;(0,7);;<1>
0;20;(9,6);outputNeighborhood;<1>
0;20;(9,6);;<1>
0;21;(6,6);outputNeighborhood;<1>
0;21;(6,6);;<0>
0;22;(5,6);outputNeighborhood;<1>
0;22;(5,6);;<0>
0;23;(2,6);outputNeighborhood;<1>
0;23;(2,6);;<0>
0;24;(7,7);outputNeighborhood;<1>
0;24;(7,7);;<0>
0;25;(0,6);outputNeighborhood;<1>
0;25;(0,6);;<1>
0;26;(4,6);outputNeighborhood;<1>
0;26;(4,6);;<0>
0;27;(2,2);outputNeighborhood;<1>
0;27;(2,2);;<0>
0;28;(3,9);outputNeighborhood;<1>
0;28;(3,9);;<1>
0;29;(5,2);outputNeighborhood;<1>
0;29;(5,2);;<0>
0;30;(2,9);outputNeighborhood;<1>
0;30;(2,9);;<1>
0;31;(9,5);outputNeighborhood;<1>
0;31;(9,5);;<1>
0;32;(9,1);outputNeighborhood;<1>
0;32;(9,1);;<1>
0;33;(7,1);outputNeighborhood;<1>
0;33;(7,1);;<0>
0;34;(6,1);outputNeighborhood;<1>
0;34;(6,1);;<0>
0;35;(8,5);outputNeighborhood;<1>
0;35;(8,5);;<0>
0;36;(8,0);outputNeighborhood;<1>
0;36;(8,0);;<1>
0;37;(7,0);outputNeighborhood;<1>
0;37;(7,0);;<1>
0;38;(5,7);outputNeighborhood;<1>
0;38;(5,7);;<0>
0;39;(0,1);outputNeighborhood;<1>
0;39;(0,1);;<1>
0;40;(1,4);outputNeighborhood;<1>
0;40;(1,4);;<1>
0;41;(9,8);outputNeighborhood;<1>
0;41;(9,8);;<1>
0;42;(6,0);outputNeighborhood;<1>
0;42;(6,0);;<1>
0;43;(5,9);outputNeighborhood;<1>
0;43;(5,9);;<1>
0;44;(7,3);outputNeighborhood;<1>
0;44;(7,3);;<0>
0;45;(1,1);outputNeighborhood;<0>
0;45;(1,1);;<0>
0;46;(7,5);outputNeighborhood;<1>
0;46;(7,5);;<0>
0;47;(8,9);outputNeighborhood;<1>
0;47;(8,9);;<1>
0;48;(2,1);outputNeighborhood;<0>
0;48;(2,1);;<0>
0;49;(2,8);outputNeighborhood;<1>
0;49;(2,8);;<0>
0;50;(3,3);outputNeighborhood;<0>
0;50;(3,3);;<0>
0;51;(3,0);outputNeighborhood;<1>
0;51;(3,0);;<1>
